date,kpi,value,kpiGroup
2026-04-06,FRT Breached (Tier 3),0,SLA_Raw
2026-04-06,FRT Breaches (Resolved Today),28,SLA_Breaches
2026-04-06,FRT Compliance % (Customer Care),93,SLA_Compliance
2026-04-06,FRT Compliance % (Development),100,SLA_Compliance
2026-04-06,FRT Compliance % (Open Queue),68,SLA_Compliance
2026-04-06,FRT Compliance % (Production),67,SLA_Compliance
2026-04-06,FRT Compliance % (Resolved Today),86,SLA_Compliance
2026-04-06,FRT Met (All),124,SLA_Raw
2026-04-06,FRT Met (Customer Care),120,SLA_Raw
2026-04-06,FRT Met (Development),2,SLA_Raw
2026-04-06,FRT Met (Production),2,SLA_Raw
2026-04-06,FRT Met (Tier 2),0,SLA_Raw
2026-04-06,FRT Met (Tier 3),0,SLA_Raw
2026-04-06,New Tickets Today,46,Volume
2026-04-06,Number of Tickets With No Reply in CC (Service Requests),0,Hygiene
2026-04-06,Number of Tickets With No Reply in Development,99,Hygiene
2026-04-06,Oldest actionable ticket (days) in Development,157,Age
2026-04-06,Production FRT breached (actionable),2,
2026-04-06,Production FRT breached (not actionable),0,
2026-04-06,Production over SLA (actionable),0,SLA_Actionable
2026-04-06,Production over SLA (not actionable),0,SLA_Backlog
2026-04-06,Resolution Breached (All),8,SLA_Raw
2026-04-06,Resolution Breached (Customer Care),7,SLA_Raw
2026-04-06,Resolution Breached (Development),0,SLA_Raw
2026-04-06,Resolution Breached (Production),1,SLA_Raw
2026-04-06,Resolution Breached (Tier 2),0,SLA_Raw
2026-04-06,Resolution Breached (Tier 3),0,SLA_Raw
2026-04-06,Resolution Breaches (Resolved Today),28,SLA_Breaches
2026-04-06,Resolution Compliance % (Customer Care),95,SLA_Compliance
2026-04-06,Resolution Compliance % (Development),100,SLA_Compliance
2026-04-06,Resolution Compliance % (Open Queue),78,SLA_Compliance
2026-04-06,Resolution Compliance % (Production),67,SLA_Compliance
2026-04-06,Resolution Compliance % (Resolved Today),86,SLA_Compliance
2026-04-06,Resolution Met (All),126,SLA_Raw
2026-04-06,Resolution Met (Customer Care),122,SLA_Raw
2026-04-06,Resolution Met (Development),2,SLA_Raw
2026-04-06,Resolution Met (Production),2,SLA_Raw
2026-04-06,Resolution Met (Tier 2),0,SLA_Raw
2026-04-06,Resolution Met (Tier 3),0,SLA_Raw
2026-04-06,Tickets Solved Today,198,Volume
2026-04-06,Tier 2 FRT breached (actionable),4,
2026-04-06,Tier 2 FRT breached (not actionable),0,
2026-04-06,Tier 3 FRT breached (actionable),0,
2026-04-06,Tier 3 FRT breached (not actionable),0,
2026-04-07,1st Line Resolution Rate %,82,Tiered Support
2026-04-07,CC (TPJ) FRT breached (actionable),13,
2026-04-07,CC (TPJ) FRT breached (not actionable),1,
2026-04-07,CC (TPJ) over SLA (actionable),1,SLA_Actionable
2026-04-07,CC (TPJ) over SLA (not actionable),0,SLA_Backlog
2026-04-07,CC Incidents FRT breached (actionable),4,
2026-04-07,CC Incidents FRT breached (not actionable),0,
2026-04-07,CC Incidents over SLA (actionable),3,SLA_Actionable
2026-04-07,CC Incidents over SLA (not actionable),0,SLA_Backlog
2026-04-07,CC Service Requests FRT breached (actionable),9,
2026-04-07,CC Service Requests FRT breached (not actionable),0,
2026-04-07,CC Service Requests over SLA (actionable),0,SLA_Actionable
2026-04-07,CC Service Requests over SLA (not actionable),0,SLA_Backlog
2026-04-07,CSAT %,60,Quality
2026-04-07,Development FRT breached (actionable),78,
2026-04-07,Development FRT breached (not actionable),7,
2026-04-07,Development over SLA (actionable),18,SLA_Actionable
2026-04-07,Development over SLA (not actionable),2,SLA_Backlog
2026-04-07,Escalation Accuracy %,100,Tiered Support
2026-04-07,FCR Rate %,25,Customer Satisfaction
2026-04-07,FRT Breached (All),9,SLA_Raw
2026-04-07,FRT Breached (Customer Care),8,SLA_Raw
2026-04-07,FRT Breached (Development),0,SLA_Raw
2026-04-07,FRT Breached (Production),1,SLA_Raw
2026-04-07,FRT Breached (Tier 2),0,SLA_Raw
2026-04-07,FRT Breached (Tier 3),0,SLA_Raw
2026-04-07,FRT Breaches (Resolved Today),27,SLA_Breaches
2026-04-07,FRT Compliance % (Customer Care),91,SLA_Compliance
2026-04-07,FRT Compliance % (Development),100,SLA_Compliance
2026-04-07,FRT Compliance % (Open Queue),68,SLA_Compliance
2026-04-07,FRT Compliance % (Production),67,SLA_Compliance
2026-04-07,FRT Compliance % (Resolved Today),83,SLA_Compliance
2026-04-07,FRT Met (All),82,SLA_Raw
2026-04-07,FRT Met (Customer Care),78,SLA_Raw
2026-04-07,FRT Met (Development),2,SLA_Raw
2026-04-07,FRT Met (Production),2,SLA_Raw
2026-04-07,FRT Met (Tier 2),0,SLA_Raw
2026-04-07,FRT Met (Tier 3),0,SLA_Raw
2026-04-07,New Tickets Today,107,Volume
2026-04-07,Number of Tickets With No Reply in CC (Incidents),1589,Response Quality
2026-04-07,Number of Tickets With No Reply in CC (Service Requests),1040,Response Quality
2026-04-07,Number of Tickets With No Reply in CC (TPJ),2278,Response Quality
2026-04-07,Number of Tickets With No Reply in Development,100,Hygiene
2026-04-07,Number of Tickets With No Reply in Production,54,Response Quality
2026-04-07,Number of Tickets With No Reply in Tier 2,34,Response Quality
2026-04-07,Number of Tickets With No Reply in Tier 3,4,Response Quality
2026-04-07,Number of Tickets in CC (Incidents),83,Volume
2026-04-07,Number of Tickets in CC (Service Requests),73,Volume
2026-04-07,Number of Tickets in CC (TPJ),38,Volume
2026-04-07,Number of Tickets in Customer Care (Incidents),1589,Queue Sizes
2026-04-07,Number of Tickets in Customer Care (Service Requests),1040,Queue Sizes
2026-04-07,Number of Tickets in Development,232,Queue Sizes
2026-04-07,Number of Tickets in Production,54,Queue Sizes
2026-04-07,Number of Tickets in Tier 2,34,Queue Sizes
2026-04-07,Number of Tickets in Tier 3,4,Queue Sizes
2026-04-07,Oldest actionable ticket (days) in CC (TPJ),20,Age
2026-04-07,Oldest actionable ticket (days) in CC Incidents,22,Age
2026-04-07,Oldest actionable ticket (days) in CC Service Requests,41,Age
2026-04-07,Oldest actionable ticket (days) in Development,158,Age
2026-04-07,Oldest actionable ticket (days) in Production,39,Age
2026-04-07,Oldest actionable ticket (days) in Tier 2,43,Age
2026-04-07,Oldest actionable ticket (days) in Tier 3,11,Age
2026-04-07,Production FRT breached (actionable),2,
2026-04-07,Production FRT breached (not actionable),0,
2026-04-07,Production over SLA (actionable),0,SLA_Actionable
2026-04-07,Production over SLA (not actionable),0,SLA_Backlog
2026-04-07,Resolution Breached (All),8,SLA_Raw
2026-04-07,Resolution Breached (Customer Care),7,SLA_Raw
2026-04-07,Resolution Breached (Development),0,SLA_Raw
2026-04-07,Resolution Breached (Production),1,SLA_Raw
2026-04-07,Resolution Breached (Tier 2),0,SLA_Raw
2026-04-07,Resolution Breached (Tier 3),0,SLA_Raw
2026-04-07,Resolution Breaches (Resolved Today),28,SLA_Breaches
2026-04-07,Resolution Compliance % (Customer Care),92,SLA_Compliance
2026-04-07,Resolution Compliance % (Development),100,SLA_Compliance
2026-04-07,Resolution Compliance % (Open Queue),77,SLA_Compliance
2026-04-07,Resolution Compliance % (Production),67,SLA_Compliance
2026-04-07,Resolution Compliance % (Resolved Today),82,SLA_Compliance
2026-04-07,Resolution Met (All),83,SLA_Raw
2026-04-07,Resolution Met (Customer Care),79,SLA_Raw
2026-04-07,Resolution Met (Development),2,SLA_Raw
2026-04-07,Resolution Met (Production),2,SLA_Raw
2026-04-07,Resolution Met (Tier 2),0,SLA_Raw
2026-04-07,Resolution Met (Tier 3),0,SLA_Raw
2026-04-07,Tickets escalated to Development,0,Tiered Support
2026-04-07,Tickets escalated to Tier 2,3,Tiered Support
2026-04-07,Tickets escalated to Tier 3,0,Tiered Support
2026-04-07,Tickets opened today,107,Daily Activity
2026-04-07,Tickets rejected by Development,0,Tiered Support
2026-04-07,Tickets rejected by Tier 2,0,Tiered Support
2026-04-07,Tickets rejected by Tier 3,0,Tiered Support
2026-04-07,Tickets solved today,52,Daily Activity
2026-04-07,Tier 2 FRT breached (actionable),4,
2026-04-07,Tier 2 FRT breached (not actionable),0,
2026-04-07,Tier 2 over SLA (actionable),0,SLA_Actionable
2026-04-07,Tier 2 over SLA (not actionable),0,SLA_Backlog
2026-04-07,Tier 3 FRT breached (actionable),0,
2026-04-07,Tier 3 FRT breached (not actionable),0,
2026-04-07,Tier 3 over SLA (actionable),0,SLA_Actionable
2026-04-07,Tier 3 over SLA (not actionable),0,SLA_Backlog
2026-04-08,CC (TPJ) over SLA (actionable),1,SLA_Actionable
2026-04-08,CC (TPJ) over SLA (not actionable),0,SLA_Backlog
2026-04-08,CC Incidents over SLA (actionable),1,SLA_Actionable
2026-04-08,CC Incidents over SLA (not actionable),0,SLA_Backlog
2026-04-08,CC Service Requests over SLA (actionable),0,SLA_Actionable
2026-04-08,CC Service Requests over SLA (not actionable),0,SLA_Backlog
2026-04-08,Development over SLA (actionable),20,SLA_Actionable
2026-04-08,Development over SLA (not actionable),1,SLA_Backlog
2026-04-08,Escalation Accuracy %,100,Tiered Support
2026-04-08,Number of Tickets With No Reply in CC (Incidents),1618,Response Quality
2026-04-08,Number of Tickets With No Reply in CC (Service Requests),1059,Response Quality
2026-04-08,Number of Tickets With No Reply in CC (TPJ),2292,Response Quality
2026-04-08,Number of Tickets With No Reply in Production,51,Response Quality
2026-04-08,Number of Tickets With No Reply in Tier 2,34,Response Quality
2026-04-08,Number of Tickets With No Reply in Tier 3,4,Response Quality
2026-04-08,Number of Tickets in CC (Incidents),78,Volume
2026-04-08,Number of Tickets in CC (Service Requests),56,Volume
2026-04-08,Number of Tickets in CC (TPJ),35,Volume
2026-04-08,Number of Tickets in Customer Care (Incidents),1618,Queue Sizes
2026-04-08,Number of Tickets in Customer Care (Service Requests),1059,Queue Sizes
2026-04-08,Number of Tickets in Development,228,Queue Sizes
2026-04-08,Number of Tickets in Production,51,Queue Sizes
2026-04-08,Number of Tickets in Tier 2,34,Queue Sizes
2026-04-08,Number of Tickets in Tier 3,4,Queue Sizes
2026-04-08,Oldest actionable ticket (days) in CC (TPJ),13,Age
2026-04-08,Oldest actionable ticket (days) in CC Incidents,23,Age
2026-04-08,Oldest actionable ticket (days) in CC Service Requests,132,Age
2026-04-08,Oldest actionable ticket (days) in Development,159,Age
2026-04-08,Oldest actionable ticket (days) in Production,39,Age
2026-04-08,Oldest actionable ticket (days) in Tier 2,35,Age
2026-04-08,Oldest actionable ticket (days) in Tier 3,12,Age
2026-04-08,Production over SLA (actionable),0,SLA_Actionable
2026-04-08,Production over SLA (not actionable),0,SLA_Backlog
2026-04-08,Tickets escalated to Development,1,Tiered Support
2026-04-08,Tickets escalated to Tier 2,0,Tiered Support
2026-04-08,Tickets escalated to Tier 3,0,Tiered Support
2026-04-08,Tickets opened today,121,Daily Activity
2026-04-08,Tickets rejected by Development,0,Tiered Support
2026-04-08,Tickets rejected by Tier 2,0,Tiered Support
2026-04-08,Tickets rejected by Tier 3,0,Tiered Support
2026-04-08,Tickets solved today,53,Daily Activity
2026-04-08,Tier 2 over SLA (actionable),0,SLA_Actionable
2026-04-08,Tier 2 over SLA (not actionable),0,SLA_Backlog
2026-04-08,Tier 3 over SLA (actionable),0,SLA_Actionable
2026-04-08,Tier 3 over SLA (not actionable),0,SLA_Backlog
